,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
SLC26A2,0.14734632185058308,0.0,0.0,0.0,0.0,0.18107420066659216,0.0,0.04180114933495757,0.010106195529274505,-0.010012081341241374,0.0,0.0,0.0,0.0,0.0
DEFA6,0.14281514688652838,0.0,0.0,0.0,-0.0031328320802005275,0.0,0.0,0.0,0.0,0.0,-0.0013446821914581157,0.0,0.0,0.14503440262593376,0.12052564181069582
COL5A1,0.14272471365663875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015108570751420986,0.0
IGHA1,0.13894804687586734,0.0,0.0,0.03897421694198592,0.0,0.06482773038389757,-0.002252252252252294,-0.0038445640732369295,0.06993199215998488,0.007824526993890147,0.15639353223023536,0.0,0.012679660233590358,0.06473201317987196,0.0054586561123723416
MS4A1,0.13816188996266301,0.02669059675356341,0.0,0.020493580608868307,-0.0012531328320802243,0.0,-0.008468385225435457,0.0,0.0,0.0,0.06264325264660932,0.0,0.0,-0.0003765215047897206,0.0
CXCL13,0.1374248882459203,0.0,0.0,0.0,0.0,-0.0007981717162129532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018565028247759937
A2M,0.13685992454715604,0.023756994145457573,0.0,0.11160306478122647,0.0,0.033953602890452524,0.0,0.0,0.0,0.0,0.092605717374445,0.0,0.0,0.029644443327509384,0.0
REG4,0.13589144131712813,0.0,0.0,-0.0006407817943246625,0.0,0.0,0.0,0.0,0.0,-0.0029844651717002577,-0.004061061909398901,0.0,0.0,-0.0008621333518470477,0.0
COL6A3,0.12787174567967918,0.0,0.03663708737051338,0.06121072467503364,0.0,0.00027389560576837743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01382631863649851,0.0
TRBC2,0.12703629875739428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01738145336468906,0.03166079251709663
CSRP1,0.12596838473670877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA2,0.12474893455601195,-0.0031982827777287367,0.01968722813558945,-0.002604902334295114,0.0,0.11746469337203691,0.0,0.0,0.015671712642905462,0.0,0.05964619847600742,0.0,0.0,-0.00189788732729647,0.0
LYZ,0.11993458415657633,0.0,0.11606592153220058,0.0,0.0,0.0,0.0,0.0,0.15727738949294073,0.0,0.0,0.0,0.0,0.015665613666981056,0.0
CTHRC1,0.11983774398863976,-0.004126720133107766,0.019761245284898015,0.0,-0.001879699248120328,-0.0008386102857104653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003563981085011421,0.0
LGALS1,0.11833572517234123,0.0,0.0,0.0,0.0,0.0023706080356024222,0.03991009546663598,0.0,0.0,0.0,0.0,0.0,0.0,0.038313470003416096,0.0
AEBP1,0.1152296506195415,0.0,0.0,0.0,0.0,0.0,-0.005228981260855714,0.0,0.0,0.05787305253657999,0.0,0.0,0.0,-0.0023131273565065525,0.0
DCN,0.11383630205605935,0.0,-0.02215183915270698,0.04106014323411567,0.0,-0.0010545647309600004,0.0,0.0,0.0,0.0,0.03155052745043599,0.0,0.0,0.013088539261521719,0.0
SELENOP,0.11356711506826658,0.0,0.0,0.023398369540447144,0.021908978973220986,0.2395863528154411,0.013588153515815053,0.0,0.08529501333707146,0.0,0.0,0.0,0.0,0.008740066718623995,0.0
CXCL8,0.11279757372042552,0.0,0.03462220549755685,0.05806555799689164,-0.0037593984962406104,-0.0005217681915737734,0.0,0.0,0.15667381555380203,-0.007843824383362528,-0.008599871117890763,0.0,0.047720951662790986,0.020428848560033106,-0.009878530889195191
TRAC,0.10590512385425502,0.03556535849172797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012767852763682233,0.0
CALD1,0.10532443561312528,0.0,-0.008553808393641213,0.0,0.0,0.0,0.0,0.0,0.0,0.07751443947699012,0.01111050965379955,0.06210202922078433,0.04861258595610385,0.012064345881565502,0.0
MS4A12,0.10528112730249539,0.0,0.0,0.0,0.0,0.10303112328176076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03372347607599376,0.0
IGFBP7,0.10483851340065431,0.0,0.0,0.0,-0.010384623509027488,0.0,0.0,-0.012467884206595677,0.0,0.0,0.0,0.0,0.0,0.03591906514782799,0.0
CCN1,0.10443030165944903,0.0,0.03997615090496126,0.0,0.0,0.0,0.01706115889021363,-0.012434681176757261,0.0,0.0,0.0,0.0,0.0,0.013420372458079187,0.0
SFRP4,0.10424324795049962,0.0,-0.004216130106821185,0.09011444832890216,-0.007018370246560748,0.0,0.0,0.0,0.015473643376937178,0.0,0.0,0.0,-0.004486637057981489,-0.0025697293505703342,0.0
TIMP1,0.1041997170382531,0.0,0.0957733187988808,0.1213753943023077,0.0,0.0,0.04196230601924958,0.0,0.0,0.0,0.0,0.0,0.04432976938142705,0.0,0.0
COL6A2,0.10407402690168491,0.0,0.0,0.0,-0.012098077566396316,0.0,0.0,0.01877920423276335,0.0,0.0,0.0,0.0,0.0,0.011253896813534383,0.0
ACTA2,0.10327842337131782,0.0,7.630893055781294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09433135600731195,0.0,0.0,0.0,0.0036065687251841056,0.0
IGLC1,0.10257616033493214,-0.005470486497090615,-0.0027289061715575777,0.060435717450882866,0.0,0.021507781774815306,0.0,-0.005847953216374282,0.05777735417281381,-0.003958648553766475,0.10322809174846986,-0.0025594508710427284,0.0,0.018652759457294287,-0.004815633941416041
SFRP2,0.1014247277365953,-0.009897705837536965,-0.012338777939390332,0.06561981420287424,0.048010482892050683,0.08792343195768375,0.0022581067530777093,0.029726802912924635,0.0397610846212234,-0.014323235238009937,0.0,0.009288148094207072,0.0,-0.001087195298642132,0.0
LTB,0.10077428449043244,0.1028106405924869,0.0,0.0,-0.00313283208020053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006252331334489863,0.0
