,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
FNDC10,0.0,0.0,0.0,-0.0007950109198259326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSTK,0.0,0.0,0.0,-0.0007841587700303657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2D,0.0,0.0,0.0,-0.00557010679777548,0.0,0.0,-0.003669533610381191,0.0,-0.002003688080957296,0.0,0.0,0.0,-0.00528404854797891,0.0,-0.005183661244606278
TDRD3,0.0,0.0,0.0,-0.0029645172373070384,-0.0030685957940055813,0.01680730450907545,0.0,-0.01769830222124206,0.0,-0.005200542257345549,0.0,-0.0005460070651764826,0.0,0.0,0.0
GDF15,0.0,0.0,0.0,-0.002403049083654962,0.0,0.0,0.0,0.0,0.0,0.0,-0.002568055299534781,0.0,0.0,0.025794841733831387,0.0
LRCH2,0.0,0.0,0.0,-0.002440479703829703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNH2,0.0,0.0,0.0,0.07396612338365918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPM,0.0,0.0,0.0,-0.004030853854902584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPN13,0.0,0.0,0.0,1.8330500317555894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET3,0.0,0.0,0.0,-0.0046809003960522335,0.0,-0.0008629355795285245,0.0,0.0,-0.002188128972093402,0.0,-0.001847264247823787,0.0,0.0,0.0,0.0
DCPS,0.0,0.0,0.0,-0.0016306756927631785,-0.002862901556549099,0.014998207616076249,0.0,0.0,0.0,-0.0026895406171140277,0.0,0.0,0.0,0.0,0.0
DNAJC18,0.0,0.0,0.0,-0.0031960821299649622,-0.0044398907103824015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
